,Sample Date,Address,1st Draw,2/3 Min,5 Min
228,2016-04-20 00:00:00,1500 W JONQUIL TERRACE,1.0,1.0,1.0
229,2016-04-20 00:00:00,9900 S PERRY AVE,1.0,1.67,1.0
230,2016-04-20 00:00:00,2000 W MORSE AVE,1.39,2.04,2.1
231,2016-04-21 00:00:00,900 N FAIRFIELD AVE,1.42,1.86,1.18
232,2016-04-21 00:00:00,1000 W 102ND ST,1.82,1.0,1.0
233,2016-04-21 00:00:00,00 E SCOTT ST,1.54,3.41,1.59
234,2016-04-22 00:00:00,13200 S CORLISS AVE,1.0,1.0,1.0
235,2016-04-22 00:00:00,2000 W 68TH PL,2.0,1.4,1.0
236,2016-04-22 00:00:00,11700 S BELL AVE,3.5,2.31,1.34
237,2016-04-23 00:00:00,3300 W 62ND ST,1.0,1.0,1.0
238,2016-04-23 00:00:00,3700 N WINCHESTER AVE,1.33,1.0,1.0
239,2016-04-23 00:00:00,8200 S EVANS AVE,2.54,1.0,1.0
240,2016-04-23 00:00:00,2100 N CLARK ST,2.25,1.02,1.0
241,2016-04-23 00:00:00,6800 S KOLIN AVE,2.48,4.6,2.0
242,2016-04-27 00:00:00,3800 S CAMPBELL AVE,1.0,1.0,1.0
243,2016-04-27 00:00:00,5000 S WASHTENAW,17.4,3.2,2.88
244,2016-04-27 00:00:00,5000 S WASHTENAW**,17.4,3.2,2.88
245,2016-04-27 00:00:00,4500 N FRANCISCO AVE,2.29,1.82,1.68
246,2016-04-27 00:00:00,8000 S ALBANY AVE,2.44,5.76,6.24
247,2016-04-27 00:00:00,6800 S ST LAWRENCE AVE,1.06,1.01,1.0
248,2016-04-27 00:00:00,300 W 101ST ST,2.91,4.88,2.66
249,2016-04-28 00:00:00,1700 W 100TH PL,3.4,1.94,1.28
250,2016-04-28 00:00:00,1100 W LUNT AVE,1.0,1.0,1.0
251,2016-04-28 00:00:00,6100 W EDDY ST,1.0,1.0,1.0
252,2016-04-28 00:00:00,8500 S MORGAN AVE,1.46,3.37,3.6
253,2016-04-29 00:00:00,6900 N OZARK AVE,3.14,1.94,3.41
254,2016-04-30 00:00:00,2200 N SEMINARY AVE,1.0,1.0,1.0
255,2016-04-30 00:00:00,2300 W FARWELL AVE,1.8,1.0,1.0
256,2016-05-03 00:00:00,5000 N RAVENSWOOD AVE,1.0,2.04,1.16
257,2016-05-03 00:00:00,900 N LONG AVE,1.0,1.0,1.0
258,2016-05-03 00:00:00,3900 N PAGE AVE,1.07,1.0,1.0
259,2016-05-03 00:00:00,8100 S MUSKEGON AVE,1.0,1.0,1.0
260,2016-05-03 00:00:00,1600 W 18TH PL,1.0,4.46,1.0
261,2016-05-04 00:00:00,1400 S FEDERAL ST,1.0,1.0,1.0
262,2016-05-04 00:00:00,1100 E 56TH ST,1.0,1.0,1.0
263,2016-05-04 00:00:00,2800 W ESTES AVE,1.0,1.0,1.0
264,2016-05-05 00:00:00,9500 S PROSPECT,5.29,15.1,4.22
265,2016-05-05 00:00:00,2300 E 89TH ST,1.0,1.0,1.0
266,2016-05-05 00:00:00,8300 S DANTE AVE,1.0,2.53,1.0
267,2016-05-05 00:00:00,9500 S PROSPECT,5.29,15.1,4.22
268,2016-05-05 00:00:00,4400 S ELLIS AVE,1.0,1.0,1.0
